Suburb,Investor Score,12M Growth (%),10Y Growth (%),Growth Gap,Growth Gap,Rent Affordability,Buy Affordability,Yield,Yield
Belbora,69,0.8064516129032258,100,0.2200304128007434,90,10,56,3.38,58
Belfield,82,10.0,100,0.2808535682924296,68,74,100,5.073170731707317,100
Belfield,70,9.872611464968154,100,0.2808535682924296,90,10,27,2.29247311827957,30
Belford,83,4.838709677419355,100,0.2883666386675438,90,100,100,4.5369127516778525,88
Belgravia,72,-1.4848484848484849,100,0.24618442769337176,90,100,100,4.109677419354838,77
Belimbla Park,62,5.0,100,0.10791346544966449,90,66,62,2.0775558166862518,25
Bella Vista,84,-1.3333333333333335,100,0.15375308806592608,68,100,100,3.169721115537848,53
Bella Vista,73,7.380952380952381,100,0.15375308806592608,90,100,70,2.122448979591837,26
Bellambi,69,1.214574898785425,100,0.13033572132417115,90,10,44,3.2618181818181817,55
Bellambi,68,0.6896551724137931,100,0.13033572132417115,68,44,90,4.058536585365854,76
Bellangry,67,4.375,100,0.15000811179637177,90,20,66,3.2,54
Bellata,75,11.864406779661017,1,0.08689564238623415,90,92,100,7.969348659003832,100
Bellawongarah,69,3.79746835443038,100,0.07134513554307377,90,52,87,3.1199999999999997,52
Bellbird,71,4.838709677419355,100,0.2883666386675438,90,51,100,4.813223140495867,95
Bellbird,68,3.3707865168539324,100,0.2883666386675438,68,94,100,4.816842105263158,95
Bellbird Heights,71,4.838709677419355,100,0.2883666386675438,90,69,100,4.445161290322581,86
Bellbrook,78,-2.2222222222222223,100,0.2752797576927607,90,10,45,3.3121019108280256,57
Bellevue Hill,70,7.03125,100,0.290231008169431,68,100,100,3.6323529411764706,65
Bellevue Hill,57,3.3783783783783785,100,0.290231008169431,90,10,10,1.6352201257861636,13
Bellingen,81,0.0,100,0.14154186033791,68,100,100,3.0254545454545454,49
Bellingen,67,2.4691358024691357,100,0.14154186033791,90,10,67,3.5043478260869563,62
Bellmount Forest,69,13.924050632911392,100,0.3378838193852186,90,100,98,2.9952,48
Belmont (NSW),77,2.3622047244094486,100,0.12644782342382704,68,72,98,4.069565217391304,76
Belmont (NSW),65,3.888888888888889,100,0.12644782342382704,90,10,64,3.3948186528497413,59
Belmont North,77,2.3622047244094486,100,0.12644782342382704,68,100,100,3.8580645161290326,71
Belmont North,63,3.888888888888889,100,0.12644782342382704,90,26,94,4.047904191616766,76
Belmont South,79,2.3622047244094486,100,0.12644782342382704,68,66,93,3.8677685950413223,71
Belmont South,62,3.888888888888889,100,0.12644782342382704,90,10,58,3.276,56
Belmore,76,10.0,100,0.2808535682924296,68,55,100,5.055555555555555,100
Belmore,68,9.872611464968154,100,0.2808535682924296,90,10,17,2.6,38
Belmore River,82,-2.2222222222222223,100,0.2752797576927607,90,54,80,3.3121019108280256,57
Belrose,79,8.0,100,0.10519982826016043,68,100,80,2.2801261829652995,30
Belrose,67,4.99790004199916,100,0.10519982826016043,90,10,44,3.1208609271523176,52
Bemboka,72,0.6172839506172839,100,0.15273739247660534,90,10,60,3.5752234514657166,63
Ben Lomond (NSW),68,7.368421052631578,74,0.2984867379186813,90,85,100,5.073170731707317,100
Benandarah,70,0.6172839506172839,100,0.15273739247660534,90,10,43,2.7083333333333335,41
Bendalong,78,3.79746835443038,100,0.07134513554307377,90,22,63,3.091891891891892,51
Bendemeer,78,13.924050632911392,53,0.1866766650981241,90,31,98,4.9739130434782615,99
Bendick Murrell,81,13.924050632911392,100,0.3378838193852186,90,74,100,5.546666666666667,100
Bendolba,69,4.838709677419355,100,0.2883666386675438,90,78,94,3.6202531645569622,65
Bensville,70,5.311355311355311,100,0.08940914281751242,90,73,81,3.04,50
Bentley (NSW),65,9.042553191489363,100,0.26190238077666794,90,27,100,4.606299212598426,90
Berala,76,0.7575757575757576,100,0.3406142994896833,68,83,100,5.1395348837209305,100
Berala,68,16.878267363704257,100,0.3406142994896833,90,21,35,2.3333333333333335,31
Beresfield,80,6.153846153846154,100,0.15145028935713895,68,68,100,4.588235294117647,89
Beresfield,67,6.358381502890173,100,0.15145028935713895,90,10,92,4.503937007874016,87
Bergalia,65,0.6172839506172839,100,0.15273739247660534,90,44,94,3.700570661295737,67
Berkeley,82,8.65874363327674,100,0.049414349016912336,68,42,89,4.0625,76
Berkeley,69,6.985525487728131,100,0.049414349016912336,90,10,80,4.118120805369128,77
Berkeley Vale,79,-0.6611570247933884,100,0.1246286821937022,68,100,100,5.416666666666667,100
Berkeley Vale,62,5.521472392638037,100,0.1246286821937022,90,32,93,3.7977528089887644,69
Berkshire Park,78,6.358381502890173,100,0.06018638813540398,90,51,38,2.08,25
Bermagui,72,0.9523809523809524,100,0.15273739247660534,68,46,82,3.5239669421487605,62
Bermagui,70,0.6172839506172839,100,0.15273739247660534,90,10,10,2.22568093385214,29
Berowra,72,10.120481927710843,100,0.23991577685197668,90,100,81,2.4835820895522387,35
Berowra,58,3.4246575342465753,100,0.23991577685197668,68,100,100,2.1233333333333335,26
Berowra Heights,72,10.120481927710843,100,0.23991577685197668,90,75,79,2.888888888888889,46
Berowra Heights,71,3.4246575342465753,100,0.23991577685197668,68,100,94,2.1233333333333335,26
Berrambool,83,0.9523809523809524,100,0.15273739247660534,68,36,93,4.4972972972972975,87
Berrambool,64,0.6172839506172839,100,0.15273739247660534,90,10,58,3.8285714285714283,70
Berrara,80,3.79746835443038,100,0.07134513554307377,90,46,77,3.2944099378881986,56
Berridale,79,-8.519553072625698,100,0.22771762571377427,68,62,98,4.32,83
Berridale,78,-6.086956521739131,100,0.22771762571377427,90,55,100,4.8533333333333335,96
Berrigan,86,6.521739130434782,100,0.33041319950336856,90,43,100,5.959885386819484,100
Berrigan,81,-1.4285714285714286,100,0.33041319950336856,68,100,100,5.108771929824561,100
Berrilee,66,7.526881720430108,100,0.3647658746871558,90,58,33,1.6182572614107886,13
Berrima,85,-8.584070796460178,100,-0.10726914683396865,100,93,100,3.840909090909091,70
Berry,76,-4.424778761061947,100,0.07134513554307377,68,90,97,3.594117647058823,64
Berry,66,3.79746835443038,100,0.07134513554307377,90,10,34,2.717948717948718,41
Berry Park,64,4.895104895104895,100,0.2412919137890668,90,10,64,4.085714285714285,76
Bethungra,76,4.761904761904762,100,0.3046442117563257,90,20,100,4.7272727272727275,93
Beverley Park,72,10.882352941176471,100,0.19728096795690878,90,62,52,2.2585034013605445,30
Beverley Park,67,7.6923076923076925,100,0.19728096795690878,68,100,100,4.305732484076433,82
Beverly Hills,79,6.67227999908973,100,0.20241672518846685,68,86,100,4.333333333333334,83
Beverly Hills,66,9.613130128956623,100,0.20241672518846685,90,10,41,2.4831460674157304,35
Bexhill,73,9.042553191489363,100,0.26190238077666794,90,56,82,3.38,58
Bexley,75,7.6923076923076925,100,0.19728096795690878,68,79,100,4.254545454545455,81
Bexley,68,10.882352941176471,100,0.19728096795690878,90,14,44,2.6150289017341044,39
Bexley North,80,7.6923076923076925,100,0.19728096795690878,68,73,100,4.515789473684211,88
Bexley North,70,10.882352941176471,100,0.19728096795690878,90,10,44,2.659090909090909,40
Bidwill (NSW),70,10.784313725490197,100,0.07968756083298034,68,10,78,4.271428571428571,81
Bidwill (NSW),66,9.75609756097561,100,0.07968756083298034,90,10,53,3.3460275771503607,57
Bielsdown Hills,71,2.4691358024691357,100,0.14154186033791,90,91,100,3.935135135135135,73
Big Springs,85,4.761904761904762,100,0.3046442117563257,90,87,100,5.836734693877551,100
Bigga,80,3.3333333333333335,100,0.08949970660027125,90,10,56,3.7765363128491622,69
Bilambil,60,13.452380952380953,100,0.30796324565638616,90,10,59,3.687272727272727,66
Bilambil Heights,60,12.375533428165006,100,0.30796324565638616,68,45,97,4.581818181818182,89
Bilambil Heights,60,13.452380952380953,100,0.30796324565638616,90,10,73,4.20952380952381,80
Bilbul,71,14.666666666666666,76,0.03605019129133249,90,100,100,3.9,72
Bilgola Beach,70,3.404255319148936,100,0.05934304230393405,90,85,83,2.912,46
Bilgola Plateau,58,3.404255319148936,100,0.05934304230393405,90,10,51,2.9414141414141413,47
Billimari,87,7.6923076923076925,100,0.25396913557084333,90,100,98,3.213008130081301,54
Billinudgel,74,9.090909090909092,100,0.17659667725785103,90,10,63,4.104035874439462,77
Billywillinga,72,3.937007874015748,100,0.20903402520610842,90,100,100,2.666666666666667,40
Bilpin,73,-1.9230769230769231,66,0.04586244672712298,90,100,97,3.346203346203346,57
Binalong,76,13.924050632911392,100,0.3378838193852186,90,10,50,2.9952,48
Binda,81,3.3333333333333335,100,0.08949970660027125,90,51,88,3.7765363128491622,69
Bingara,81,3.733333333333334,95,0.2700902155739978,90,42,100,5.6875,100
